Au"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"num_cells_expressed"	"use_for_ordering"	"gene_id"
"ENSMUSG00000026547"	"OK"	"negbinomial.size"	1.00557149698045e-47	2.31340857687894e-46	"ENSMUSG00000026547"	"Tagln2"	"Tagln2"	23867	TRUE	"ENSMUSG00000026547"
"ENSMUSG00000026526"	"OK"	"negbinomial.size"	7.3043101496422e-58	2.07221549327281e-56	"ENSMUSG00000026526"	"Fh1"	"Fh1"	20158	FALSE	"ENSMUSG00000026526"
"ENSMUSG00000060743"	"OK"	"negbinomial.size"	8.02707403625605e-48	1.84943310820544e-46	"ENSMUSG00000060743"	"H3f3a"	"H3f3a"	27527	FALSE	"ENSMUSG00000060743"
"ENSMUSG00000026605"	"OK"	"negbinomial.size"	1.33003544772927e-42	2.70788262723965e-41	"ENSMUSG00000026605"	"Cenpf"	"Cenpf"	10837	TRUE	"ENSMUSG00000026605"
"ENSMUSG00000026643"	"OK"	"negbinomial.size"	3.56721415824226e-173	4.05542777479002e-171	"ENSMUSG00000026643"	"Nmt2"	"Nmt2"	15851	TRUE	"ENSMUSG00000026643"
"ENSMUSG00000025781"	"OK"	"negbinomial.size"	2.64696173013816e-48	6.24642862831846e-47	"ENSMUSG00000025781"	"Atp5c1"	"Atp5c1"	27487	FALSE	"ENSMUSG00000025781"
"ENSMUSG00000026727"	"OK"	"negbinomial.size"	3.66441278085911e-51	9.25011816237936e-50	"ENSMUSG00000026727"	"Rsu1"	"Rsu1"	20479	FALSE	"ENSMUSG00000026727"
"ENSMUSG00000051154"	"OK"	"negbinomial.size"	1.42716636147796e-96	7.36030333775471e-95	"ENSMUSG00000051154"	"Commd3"	"Commd3"	24950	FALSE	"ENSMUSG00000051154"
"ENSMUSG00000036752"	"OK"	"negbinomial.size"	5.04972728596891e-51	1.26854036256396e-49	"ENSMUSG00000036752"	"Tubb4b"	"Tubb4b"	22784	TRUE	"ENSMUSG00000036752"
"ENSMUSG00000015090"	"OK"	"negbinomial.size"	1.29402384181798e-63	4.07160026996263e-62	"ENSMUSG00000015090"	"Ptgds"	"Ptgds"	19923	TRUE	"ENSMUSG00000015090"
"ENSMUSG00000036504"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000036504"	"Phpt1"	"Phpt1"	23714	FALSE	"ENSMUSG00000036504"
